            main_id            |plx_value|     rvz_redshift     |teff 
"* iot CrB"                    |8.7701   |-6.937892508351862E-5 |11200
"* iot CrB"                    |8.7701   |-6.937892508351862E-5 |11721
"* iot CrB"                    |8.7701   |-6.937892508351862E-5 |12000
"* iot CrB"                    |8.7701   |-6.937892508351862E-5 |12600
"* iot Her"                    |7.17     |-6.304162686909809E-5 |17500
"* iot Her"                    |7.17     |-6.304162686909809E-5 |17678
"* iot Her"                    |7.17     |-6.304162686909809E-5 |17789
"* iot Her"                    |7.17     |-6.304162686909809E-5 |18000
"* iot Her"                    |7.17     |-6.304162686909809E-5 |18090
"* iot Her"                    |7.17     |-6.304162686909809E-5 |19100
"* iot Her"                    |7.17     |-6.304162686909809E-5 |19385
"* iot Her"                    |7.17     |-6.304162686909809E-5 |20160
"* iot Lyr"                    |3.3932   |-8.672290432043539E-5 |13428
"* iot Oph"                    |13.3     |-6.337516988152991E-5 |11220
"* iot Oph"                    |13.3     |-6.337516988152991E-5 |12131
"* kap And"                    |19.37    |-4.2361742831453775E-5|11327
"* kap And"                    |19.37    |-4.2361742831453775E-5|12030
"* kap Dra"                    |7.0093   |-4.00268903477663E-5  |13900
"* kap Dra"                    |7.0093   |-4.00268903477663E-5  |14859
"* kap Dra"                    |7.0093   |-4.00268903477663E-5  |16906
"* kap Lup"                    |17.5888  |-2.2014987953178355E-5|11700
"* kap Lup"                    |17.5888  |-2.2014987953178355E-5|12677
"* kap Pic"                    |5.1167   |-1.667806568095287E-5 |11641
"* kap Pic"                    |5.1167   |-1.667806568095287E-5 |12293
"* kap Sco"                    |6.75     |-4.669788298150568E-5 |23170
"* kap Sco"                    |6.75     |-4.669788298150568E-5 |24720
"* ksi Ari"                    |4.2483   |-1.6678190851715513E-6|13521
"* ksi Ari"                    |4.2483   |-1.6678190851715513E-6|13627
"* ksi Cas"                    |2.9022   |-3.335585321340151E-5 |15585
"* ksi Tau"                    |16.7914  |-6.671259651147565E-6 |12050
"* ksi Tau"                    |16.7914  |-6.671259651147565E-6 |12730
"* ksi Tau"                    |16.7914  |-6.671259651147565E-6 |13070
"* lam Aql"                    |25.6409  |-2.9353209572091643E-5|11500
"* lam Aql"                    |25.6409  |-2.9353209572091643E-5|11501
"* lam Aql"                    |25.6409  |-2.9353209572091643E-5|11780
"* lam Aql"                    |25.6409  |-2.9353209572091643E-5|12010
"* lam Cas"                    |8.64     |-4.069399161366061E-5 |11508
"* lam Cas"                    |8.64     |-4.069399161366061E-5 |12246
"* lam Cep"                    |1.1761   |-2.504752665652976E-4 |34000
"* lam Cep"                    |1.1761   |-2.504752665652976E-4 |36000
"* lam Cep"                    |1.1761   |-2.504752665652976E-4 |37000
"* lam Cep"                    |1.1761   |-2.504752665652976E-4 |40000
"* lam Cyg"                    |4.24     |-7.738387595390694E-5 |13552
"* lam Cyg"                    |4.24     |-7.738387595390694E-5 |15241
"* lam Cyg"                    |4.24     |-7.738387595390694E-5 |15630
"* lam PsA"                    |6.13     |-2.0680760055347136E-5|12023
"* mu. Oph"                    |4.32     |-6.170745370670527E-5 |12790
"* n Her"                      |8.5519   |-8.839057878029521E-5 |11200
"* nu. And"                    |5.28     |-7.971864122147121E-5 |14851
"* nu. And"                    |5.28     |-7.971864122147121E-5 |16290
"* ome Cas"                    |4.4802   |-7.938510365990137E-5 |12737
"* ome Cas"                    |4.4802   |-7.938510365990137E-5 |13000
"* ome Sco"                    |6.92     |-1.4676712485783838E-5|27460
"* ome01 Cyg"                  |2.5459   |-7.304786885287129E-5 |17680
"* omi Cas"                    |4.64     |-5.63707432581495E-5  |15488
"* omi02 Eri B"                |199.6911 |-7.004600677007478E-5 |16176
"* omi02 Eri B"                |199.6911 |-7.004600677007478E-5 |17099
"* omi02 Eri B"                |199.6911 |-7.004600677007478E-5 |17100
"* phi And"                    |4.55     |-7.338383168353779E-6 |12748
"* phi And"                    |4.55     |-7.338383168353779E-6 |13490
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |11455
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |11650
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |11700
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |11721
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |12293
"* phi Her"                    |13.5751  |-5.436946949777255E-5 |12600
"* phi UMa"                    |6.41     |-4.903271989031843E-5 |11200
"* pi. Aqr"                    |4.17     |-1.6344507093202232E-5|23714
"* pi. Aqr"                    |4.17     |-1.6344507093202232E-5|24500
"* pi. Aqr"                    |4.17     |-1.6344507093202232E-5|26061
