   main_id   |plx_value|    rvz_redshift     |teff 
-------------|---------|---------------------|-----
"*   1 Cet"  |6.1526   |1.4343358959445496E-5|4714 
"*   1 Cet"  |6.1526   |1.4343358959445496E-5|4750 
"*   1 Com"  |6.0143   |4.6433200072693026E-5|5704 
"*   1 Com"  |6.0143   |4.6433200072693026E-5|5808 
"*   1 Gem"  |21.03    |7.468779004793369E-5 |5100 
"*   1 Gem"  |21.03    |7.468779004793369E-5 |5125 
"*   1 Gem"  |21.03    |7.468779004793369E-5 |5220 
"*   1 Gem"  |21.03    |7.468779004793369E-5 |5350 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6275 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6294 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6295 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6331 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6359 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6458 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6462 
"*   1 Hya"  |36.9674  |2.3952770711255233E-4|6475 
"*   1 Mon"  |10.6592  |5.5706755519358E-5   |6990 
"*   1 Psc"  |9.071    |4.269711570725754E-5 |7575 
"*   1 Psc"  |9.071    |4.269711570725754E-5 |7609 
"*   1 Psc"  |9.071    |4.269711570725754E-5 |7610 
"*   1 Pup"  |4.1384   |1.080806075530738E-4 |3881 
"*   1 Pup"  |4.1384   |1.080806075530738E-4 |4111 
"*   1 Pup"  |4.1384   |1.080806075530738E-4 |4308 
"*   1 Ser"  |10.128   |6.711534818881759E-5 |4581 
"*   1 Ser"  |10.128   |6.711534818881759E-5 |4590 
"*   1 Ser"  |10.128   |6.711534818881759E-5 |4746 
"*   1 Sgr"  |12.2588  |1.9046691223989498E-5|4680 
"*   1 Sgr"  |12.2588  |1.9046691223989498E-5|4716 
"*   1 Sgr"  |12.2588  |1.9046691223989498E-5|4845 
"*   2 And"  |7.74     |7.004870533400265E-6 |8954 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4775 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4796 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4802 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4860 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4867 
"*   2 Boo"  |9.46     |1.3342652821268786E-5|4890 
"*   2 Cam"  |15.0938  |6.704863089423974E-5 |6920 
"*   2 Cam"  |15.0938  |6.704863089423974E-5 |7031 
"*   2 Cet"  |11.98    |2.6685483673238863E-5|10046
"*   2 Cet"  |11.98    |2.6685483673238863E-5|10077
"*   2 Com"  |9.9      |2.0681187758109232E-5|7568 
"*   2 Hya"  |19.99    |9.540388217699203E-5 |7500 
"*   2 Hya"  |19.99    |9.540388217699203E-5 |7648 
"*   2 Hya"  |19.99    |9.540388217699203E-5 |7700 
